"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","681","ユーザー名がヘッダーに表示される","chromium","2026-02-18","passed","2026-02-18","プロンプトCRUD操作","prompt-crud.spec.ts","",""
"","631","ログアウトするとログインページに戻る","chromium","2026-02-18","passed","2026-02-18","認証フロー","auth.spec.ts","",""
"","52","クリックでダークモードに切り替わる","ThemeToggle","2026-02-18","passed","2026-02-18","","","",""
"","1","認証済みの場合、正しい状態を返す","client.ts","2026-02-18","passed","2026-02-18","","getAuthState","",""
"","545","ログインページが正しく表示される","chromium","2026-02-18","passed","2026-02-18","認証フロー","auth.spec.ts","",""
"","0","有効なパスワードを受け入れる","password.ts","2026-02-18","passed","2026-02-18","","validatePasswordStrength","",""
"","566","ログイン後にlocalStorageにトークンが保存される","chromium","2026-02-18","passed","2026-02-18","認証フロー","auth.spec.ts","",""
"","0","空のユーザー名を拒否する","auth.ts","2026-02-18","passed","2026-02-18","","validateUsername","",""
"","683","ダッシュボードにプロンプト一覧が表示される","chromium","2026-02-18","passed","2026-02-18","プロンプトCRUD操作","prompt-crud.spec.ts","",""
"","0","英字のみのパスワードを拒否する","password.ts","2026-02-18","passed","2026-02-18","","validatePasswordStrength","",""
"","2","localStorageからトークン・ユーザー情報を削除する","client.ts","2026-02-18","passed","2026-02-18","","logout","",""
"","0","長すぎるユーザー名を拒否する","auth.ts","2026-02-18","passed","2026-02-18","","validateUsername","",""
"","0","ヘッダーなしの場合はnullを返す","auth.ts","2026-02-18","passed","2026-02-18","","extractTokenFromRequest","",""
"","0","無効な値の場合systemを返す","theme.ts","2026-02-18","passed","2026-02-18","","getStoredTheme","",""
"","0","保存されたテーマを返す","theme.ts","2026-02-18","passed","2026-02-18","","getStoredTheme","",""
"","0","空のパスワードを拒否する","password.ts","2026-02-18","passed","2026-02-18","","validatePasswordStrength","",""
"","186","同じパスワードでも異なるハッシュが生成される","password.ts","2026-02-18","passed","2026-02-18","","hashPassword / verifyPassword","",""
"","505","短すぎるユーザー名で登録バリデーションエラーが表示される","chromium","2026-02-18","passed","2026-02-18","認証フロー","auth.spec.ts","",""
"","54","ダークモードからライトモードに切り替わる","ThemeToggle","2026-02-18","passed","2026-02-18","","","",""
"","0","テーマをlocalStorageに保存する","theme.ts","2026-02-18","passed","2026-02-18","","setStoredTheme","",""
"","470","新規登録ページに遷移できる","chromium","2026-02-18","passed","2026-02-18","認証フロー","auth.spec.ts","",""
